"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2019 YE)","2112-2112","1","2.1e-9","12.21","26.7","0.016","-9.73","-9.73","0","bK19Y00E"
"(2011 EU20)","2088-2088","1","3.6e-9","9.14","27.3","0.012","-9.76","-9.76","0","bK11E20U"
"(2019 HR2)","2049-2118","8","2.8e-8","8.39","28.9","0.005","-9.77","-10.23","0","bK19H02R"
"(2016 NC56)","2115-2115","1","2.7e-9","14.36","27.1","0.013","-9.77","-9.77","0","bK16N56C"
"(2021 AS2)","2063-2063","1","8.2e-9","24.55","29.4","0.004","-9.79","-9.79","0","bK21A02S"
"(2022 EE5)","2113-2115","2","1.4e-7","3.38","30.1","0.003","-9.81","-9.96","0","bK22E05E"
"(2020 BP12)","2092-2092","1","5.6e-10","8.69","25.6","0.025","-9.81","-9.81","0","bK20B12P"
"(2022 GQ)","2112-2115","3","1.5e-7","5.84","30.4","0.003","-9.83","-10.07","0","bK22G00Q"
"(2011 SC108)","2111-2111","1","3.1e-9","22.29","27.9","0.009","-9.84","-9.84","0","bK11SA8C"
"(2016 WW2)","2107-2107","2","2.4e-8","10.02","29.0","0.005","-9.85","-9.93","0","bK16W02W"
"(2021 VR4)","2107-2107","1","1.6e-9","7.79","26.4","0.017","-9.85","-9.85","0","bK21V04R"
"(2021 CY)","2100-2100","1","4.5e-9","10.98","27.7","0.010","-9.87","-9.87","0","bK21C00Y"
"(2019 XR)","2053-2053","1","3.0e-9","8.10","28.1","0.008","-9.91","-9.91","0","bK19X00R"
"(2021 VO8)","2114-2114","1","3.0e-9","7.10","27.0","0.013","-9.91","-9.91","0","bK21V08O"
"(2004 OD4)","2093-2093","1","1.8e-9","8.52","26.9","0.014","-9.92","-9.92","0","bK04O04D"
"(2020 DF2)","2117-2117","1","6.9e-10","15.11","26.2","0.019","-9.92","-9.92","0","bK20D02F"
"(2021 CP7)","2108-2108","1","4.6e-9","9.88","27.7","0.010","-9.95","-9.95","0","bK21C07P"
"(2020 TW)","2101-2101","1","4.6e-9","5.26","27.6","0.010","-9.96","-9.96","0","bK20T00W"
"(2021 GU12)","2096-2096","1","4.7e-9","8.86","27.9","0.009","-9.97","-9.97","0","bK21G12U"
"(2016 GW220)","2076-2076","1","5.9e-10","13.32","26.6","0.016","-9.98","-9.98","0","bK16GM0W"
"(2019 ES2)","2105-2105","1","6.0e-10","5.96","25.8","0.023","-10.01","-10.01","0","bK19E02S"
"(2017 WE30)","2038-2100","9","4.6e-8","17.56","31.8","0.001","-10.11","-10.18","0","bK17W30E"
"(2019 YS)","2101-2116","6","2.8e-7","6.26","31.5","0.002","-10.11","-10.48","0","bK19Y00S"
"(2022 BA7)","2117-2119","2","1.2e-7","9.27","30.9","0.002","-10.11","-10.27","0","bK22B07A"
"(2021 VH)","2120-2120","1","3.7e-8","5.65","29.7","0.004","-10.18","-10.18","0","bK21V00H"
"(2016 JS5)","2121-2121","1","4.5e-8","16.71","30.6","0.003","-10.20","-10.20","0","bK16J05S"
"(2017 CY32)","2107-2110","3","3.5e-9","18.10","28.5","0.007","-10.21","-10.30","0","bK17C32Y"
"(2019 TF1)","2081-2081","1","1.3e-9","8.84","27.4","0.011","-10.21","-10.21","0","bK19T01F"
"(2017 FW128)","2084-2084","1","1.5e-9","5.85","27.4","0.011","-10.23","-10.23","0","bK17FC8W"
"(2007 VF189)","2098-2098","1","3.7e-9","11.51","28.3","0.007","-10.25","-10.25","0","bK07VI9F"
"(2018 TS2)","2116-2116","1","1.4e-10","8.28","25.1","0.033","-10.29","-10.29","0","bK18T02S"
"(2014 HJ198)","2111-2111","1","2.5e-10","22.23","26.5","0.017","-10.31","-10.31","0","bK14HJ8J"
"(2003 SQ222)","2064-2101","2","1.3e-8","15.06","30.0","0.003","-10.38","-10.41","0","bK03SM2Q"
"(2016 VH)","2115-2115","1","5.5e-10","4.79","26.8","0.015","-10.58","-10.58","0","bK16V00H"
"(2009 EH1)","2068-2068","1","5.9e-10","10.70","27.9","0.009","-10.60","-10.60","0","bK09E01H"
"(2011 DE5)","2115-2115","1","1.9e-10","15.06","26.4","0.017","-10.60","-10.60","0","bK11D05E"
"(2012 XL134)","2089-2089","1","9.0e-10","8.66","27.8","0.009","-10.65","-10.65","0","bK12XD4L"
"(2021 XE)","2077-2081","2","2.8e-9","2.79","28.8","0.006","-10.66","-10.95","0","bK21X00E"
"(2021 LF6)","2115-2115","1","3.5e-9","1.48","28.5","0.007","-10.67","-10.67","0","bK21L06F"
"(2021 TK11)","2073-2073","1","1.1e-9","10.22","28.7","0.006","-10.81","-10.81","0","bK21T11K"
"(2019 RQ)","2045-2045","1","3.0e-9","12.68","30.6","0.003","-10.85","-10.85","0","bK19R00Q"
"(2014 WX202)","2118-2118","1","6.9e-9","0.94","29.6","0.004","-10.91","-10.91","0","bK14WK2X"
"(2012 BV1)","2057-2086","2","9.3e-9","8.44","31.0","0.002","-10.94","-11.05","0","bK12B01V"
"(2019 AS5)","2094-2094","1","5.3e-8","10.16","32.3","0.001","-11.01","-11.01","0","bK19A05S"
"(2017 EJ1)","2120-2120","1","4.0e-10","9.50","27.7","0.010","-11.07","-11.07","0","bK17E01J"
"(2012 AQ)","2098-2098","1","1.2e-8","2.71","30.7","0.003","-11.08","-11.08","0","bK12A00Q"
"(2018 YO2)","2115-2115","1","5.9e-9","3.77","30.0","0.003","-11.12","-11.12","0","bK18Y02O"
"(2021 TH15)","2069-2069","1","3.0e-10","12.24","28.9","0.006","-11.35","-11.35","0","bK21T15H"
"(2019 UN13)","2107-2111","3","1.7e-8","10.17","32.1","0.001","-11.50","-11.64","0","bK19U13N"
"(2020 XX3)","2086-2086","1","2.1e-10","4.62","28.5","0.007","-11.68","-11.68","0","bK20X03X"
"(2021 KN2)","2110-2110","1","1.8e-10","9.53","28.6","0.006","-11.80","-11.80","0","bK21K02N"
"(2012 KT42)","2109-2109","1","1.3e-10","15.91","28.8","0.006","-11.83","-11.83","0","bK12K42T"
"(2021 UH1)","2083-2083","1","3.8e-9","5.17","31.6","0.002","-11.89","-11.89","0","bK21U01H"
"(2017 RW17)","2081-2081","1","1.3e-10","13.79","29.8","0.004","-12.22","-12.22","0","bK17R17W"
